9715,1879
8983,1852
9550,1834
9793,1991
9179,1720
9714,1926
9607,1893
9689,1950
9473,1846
9337,1779
8983,1730
9552,1856
9253,1864
9815,1909
8882,1821
9232,1827
9478,1836
9623,1850
9347,1900
9564,1867
9878,2008
8997,1762
9459,1869
9209,1855
9136,1773
10188,2030
9697,1786
9961,1990
9300,1823
9542,1775
9712,1941
9965,1895
9785,1847
9890,1865
9496,1924
9659,1973
10076,2006
10011,1972
8475,1654
9763,1865
9955,1889
9479,1814
9566,1821
9250,1769
9361,1813
9789,1862
9538,1888
9681,1826
9727,1904
9587,1904
9496,1769
9543,1863
9133,1783
9519,1807
9572,1858
9949,1931
9061,1761
9686,1933
9270,1780
9767,1883
9443,1928
9547,1936
9223,1726
9430,1839
9313,1793
9503,1876
9485,1886
9609,1852
9594,1866
9775,1928
10031,1934
9309,1803
9672,1963
9847,1855
9422,1795
10003,1967
9542,1903
9891,1912
10129,1929
9641,1926
9880,1855
8641,1690
9836,1940
8382,1642
9385,1857
9839,2006
9817,1943
9640,1855
8437,1658
8708,1683
9827,2019
9572,1935
8615,1711
9913,1851
10076,2027
9343,1889
9034,1789
9605,1766
10060,1895
9662,1920
9789,1895
10178,2009
9808,1868
9453,1882
8983,1786
9743,1941
9739,2033
9726,1861
9202,1802
9967,1935
9701,1975
9748,1927
9576,1904
9290,1765
9669,1882
9267,1825
9710,1866
9264,1825
9297,1828
8907,1640
9654,1893
9135,1870
9627,1859
8670,1694
9710,2000
8725,1779
9573,1911
9626,1825
9703,1883
9338,1824
9289,1857
8351,1658
9696,1930
9761,1901
9997,1963
9550,1875
9333,1810
8894,1859
9546,1938
8956,1748
10136,2014
9549,1826
9525,1875
9758,1964
9528,1865
8816,1720
9843,2037
9755,1975
9447,1851
9363,1913
9299,1833
9373,1829
9143,1737
9433,1939
9283,1802
9687,1799
9235,1798
9007,1741
9128,1794
9273,1871
9420,1796
9301,1812
9550,1911
9471,1940
9286,1882
9463,1792
9884,1977
9516,1817
9500,1903
9582,1913
9929,1953
9269,1831
9381,1871
9221,1870
9850,1895
9920,1975
9700,1923
9429,1897
9757,1950
9600,1896
9497,1842
9751,1830
9559,1957
9555,1861
9692,1975
9952,1941
9596,1868
10135,1972
9719,1943
9298,1764
9364,1791
10214,1962
9412,1900
9848,1941
9050,1677
8900,1935
9950,1865
9827,1862
9720,1962
9147,1832
9243,1803
9770,1956
9717,1906
9854,1879
9325,1809
9113,1779
9278,1781
9706,1794
8665,1750
9599,1852
9787,1878
9349,1864
9394,1800
9544,1892
9074,1742
9321,1854
9393,1814
9677,1860
9302,1828
9487,1890
8896,1675
9811,1962
9624,1892
9439,1823
9528,1834
9425,1843
9117,1776
9699,1864
8575,1715
9833,1868
9690,1983
9776,1935
9208,1984
9746,1894
9646,1948
9624,1875
9484,1847
8968,1742
9347,1804
9305,1834
9338,1793
9247,1908
9270,1829
9288,1862
9300,1837
9700,1941
9376,1913
9696,1889
9722,1906
8966,1783
9363,1843
9845,1977
9328,1798
9764,1927
10025,1934
9234,1818
9488,1808
9922,1888
9476,1851
9576,1891
10080,1982
9775,1879
9456,1845
9866,1959
9340,1850
9199,1724
9318,1846
9190,1834
9597,1860
9710,1871
9317,1724
9621,1879
9196,1852
9542,1901
9374,1877
9386,1784
9298,1800
9528,1926
9433,1822
9471,1927
9564,1983
9819,1921
9770,1914
9745,1837
9631,1897
